english,santhali_devanagari,source,verified
administrative department,सासोनिया विभाग,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative head,सासोनिया मालिक,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative headquarters,सासोनिया ओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative measures,सासोनिया उपाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative power,सासोनिया दाड़े,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative sanction,सासोनिया मंजरु,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative technique,सासोनिया तकनिक,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative tribunal,सासोनिया नायओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admissibility,हें सारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admissible expenditure,1. खोरोच ् दाड़े 2. बाड़ती खोरोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admit,बोलोहोचो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admit card,1. बोलोन कागोच ् 2. चिन्हा साकाम बोलोयेनाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admitted,बोलोयेनाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
admonish,निसड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adoptee,हाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adoptor,हाताविच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adoption,हाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adult,1. हारा 2. कोड़ायेनाय 3. हाड़ाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adulteration,1. लोटपोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adultery,कड़ात्तो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adult franchise,कोड़ाकोवा मोत एम दाड़े,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad valorem duty,यथा मूल्य शुल्क,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advance,दादोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advance booking,दादोन बुकिं ग,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advance copy,दादोन साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advanced increment,दादोन कुड़ाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advance payment,दादोन टाका एम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adverse entry,बाड़िच ् बोलोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adverse remarks,बाड़िच ् चिन्हा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adverse report,बाड़िच ् खोबोर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advertisement,ढावरा ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advice,सिख़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advice of payment,कावडी ़ एम रे याः सुझाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advisory committee,गोपोड़ो कुमट ु,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advisory council,गोपोड़ो आखड़ा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
advocate,1. उकिल 2. भद्रान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
affairs,1. कामी ़ 2. मामला,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
affidavit,किरा साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
affiliation,1. संवंधन 2. जोनोड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
affirmation,1. अभिपुस्टि,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
affirmative,1. हें सारी 2. भागी उइहार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
afford,एम दाड़े,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
aforesaid,माडाङतेयाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
afresh,नावाकारते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
against,विरोध रे,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age,उमेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age certificate,उमेर सारि साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age for suffrage,एम दाड़े उमेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age limit,उमेर सिमा ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agency,एजंन्सी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agenda,कामीहोरा ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age of retirement,कामी ़ खोन जिराव़ उपेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
age of superannuation,अधिवर्षिता उमेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
aggregation,सानाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
aggrieved,1. व्यथित 2. दख ु ालि,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agitation,आँदोड़ ु ुडुप,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agreement,1. एकरार 2. हें सारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agreement form,हें सारी कागोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agriculture,चासबास,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
agro-industry,1. चास-कारखान 2. बिरित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
aid,गोड़ो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alarm,बोतोर साडे,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alertness,हुंसयार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alias,बाहना ञत ु म ु,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allegation,बोदनाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allegiance,पातया ़ व़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alliance,1. पात्याविच ् 2. गातेयिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allied services,1. गोड़ो कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
all inclusive cost,सानाम खारचा लागात ् ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allocation,नियतन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allotment,1. हाटिञ ़ 2. हुँडा 3. बाखरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allotment letter,हाटिञ ़ साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allottee,हाटिञिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allowable,हे सारियिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allowable expenses,हे सारियाः खोरोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allow an appeal,हें सारियाः मंजुर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
allowance,भत्ता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
all rights reserved,सानाम पाहटा राखा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alphabetic order,आखोर लेकाते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
